est_prsnl_inc_third_quartile_pr100, slct_gov_pnsn_alw_pnsn_dva_num, est_p_inc_tot_own_unincorporated_bsns_inc_aud, est_prsnl_inc_lo_quartile_pr100, lga_code17, gross_capital_gains_rep_taxpayers_med_aud, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud1_499wk_pr100, est_p_inc_tot_inc_earners_excl_gov_pnsn_alw_med_age_yrs, slct_gov_pnsn_alw_fam_tax_bft_b_num, equiv_tot_hsld_inc_fam_lone_p_grp_hslds_med_wkly_aud, slct_gov_pnsn_alw_newstart_alw_num, est_p_inc_investment_inc_earners_med_age_yrs, est_p_inc_tot_investment_inc_aud, slct_gov_pnsn_alw_age_pnsn_dva_num, gross_capital_gains_rep_taxpayers_p_num, est_p_inc_avg_tot_inc_excl_gov_pnsn_aud, slct_gov_pnsn_alw_carer_payment_num, est_prsnl_inc_second_quartile_pr100, est_p_inc_tot_inc_excl_gov_pnsn_aud, est_p_inc_super_annuity_inc_earners_num, est_prsnl_inc_p20_p50_ratio, est_p_inc_investment_inc_asmnsrc_inc_pr100, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud1000_1999wk_pr100, est_prsnl_inc_gini_coefficient_num, ogc_fid, est_p_inc_avg_investment_inc_aud, est_p_inc_med_emply_inc_aud, est_p_inc_avg_super_annuity_inc_aud, slct_gov_pnsn_alw_fam_tax_bft_num, lga_name17, est_p_inc_tot_super_annuity_inc_aud, gross_capital_gains_rep_taxpayers_avg_aud, slct_gov_pnsn_alw_yth_alw_full_time_studts_apprentices_num, slct_gov_pnsn_alw_dsblty_supp_pnsn_num, est_p_inc_own_unincorporated_bsns_inc_asmnsrc_inc_pr100, slct_gov_pnsn_alw_prnting_payment_prtred_num, tot_p_inc_wkly_p_ov_15_yrs_p_earn_nil_inc_pr100, est_prsnl_inc_p80_p50_ratio, est_prsnl_inc_inc_share_top_5_pr100_earners_pr100, est_prsnl_inc_inc_share_top_10_pr100_earners_pr100, est_prsnl_inc_p80_p20_ratio, est_p_inc_tot_inc_earners_excl_gov_pnsn_num, est_prsnl_inc_inc_share_top_1_pr100_earners_pr100, slct_gov_pnsn_alw_age_pnsn_centrelink_num, est_prsnl_inc_p10_p50_ratio, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud3000_plswk_pr100, est_p_inc_super_annuity_inc_earners_med_age_yrs, est_p_inc_super_annuity_inc_asmnsrc_inc_pr100, est_p_inc_avg_own_unincorporated_bsns_inc_aud, est_p_inc_own_unincorporated_bsns_inc_earners_num, tot_p_inc_wkly_p_ov_15_yrs_p_negative_inc_pr100, slct_gov_pnsn_alw_inc_supp_supplement_dva_num, gross_capital_gains_rep_taxpayers_amount_audm, slct_gov_pnsn_alw_prnting_payment_single_num, slct_gov_pnsn_alw_yth_alw_oth_num, est_p_inc_med_investment_inc_aud, est_p_inc_emply_inc_earners_med_age_yrs, est_p_inc_med_tot_inc_excl_gov_pnsn_aud, est_p_inc_tot_emply_inc_aud, est_p_inc_emply_inc_asmnsrc_inc_pr100, est_p_inc_investment_inc_earners_num, est_p_inc_own_unincorporated_bsns_inc_earners_med_age_yrs, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud500_999wk_pr100, est_p_inc_med_super_annuity_inc_aud, yr, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud2000_2999wk_pr100, est_prsnl_inc_hi_quartile_pr100, est_p_inc_med_own_unincorporated_bsns_inc_aud, est_p_inc_emply_inc_earners_num, est_p_inc_avg_emply_inc_aud
27.5,316,109457331,24.8,"10050",1961,30.2,43,3149,776,2057,47,169818553,null,2095,54388,587,27.8,1567136014,1139,0.4,13.8,21.3,0.442,2,8452,45382,24195,3877,"Albury (C)",27558286,28283,690,2252,7.0,null,6.0,1.75,19.6,30.0,4.42,28814,7.8,6454,0.16,1.6,58,2.0,27467,3985,0.4,205,59.3,810,379,262,39,45504,1313181493,76.8,20093,49,27.1,15610,2016,3.3,19.9,12133,25821,50857
23.4,108,57068263,29.5,"10130",1833,32.4,45,1683,744,1123,49,82946846,null,1323,50284,346,28.6,772508672,408,0.34,14.7,17.9,0.476,9,7405,39733,26130,2112,"Armidale Regional (A)",10661203,25231,1399,1277,9.3,null,8.3,1.9,19.8,31.2,5.5,15363,7.0,3098,0.14,1.6,58,1.3,18134,3147,0.6,104,33.4,439,227,396,39,40733,656009657,74.1,11201,53,25.2,19341,2016,3.7,18.5,7434,13844,47386
22.6,478,134232566,30.0,"10250",3467,32.2,48,2417,745,1510,52,170579262,23,2126,51172,550,28.8,1248911041,1012,0.35,18.9,18.6,0.488,16,9216,40397,28865,3148,"Ballina (A)",29211375,37992,186,1889,11.6,null,5.5,1.95,21.7,33.0,5.52,24406,8.4,6906,0.13,2.1,59,2.4,26024,5158,0.3,294,80.8,457,182,472,43,39782,950952218,66.4,18510,51,27.8,20784,2016,3.2,18.6,12443,19767,48108
28.9,7,14754147,25.3,"10300",2120,25.9,45,117,710,62,49,6477254,null,60,52104,27,30.8,60805605,22,0.44,10.5,16.8,0.47,23,8294,39057,22256,155,"Balranald (A)",489626,46415,null,93,19.2,null,7.6,1.72,22.7,32.9,3.91,1167,9.5,266,0.16,1.6,59,0.9,39032,378,1.2,5,2.8,18,5,212,42,42282,40824632,68.8,781,50,28.8,13125,2016,2.9,14.9,20961,966,42262
26.0,145,71312446,23.8,"10470",2127,28.5,44,2432,817,1110,47,97235901,4,1372,57023,459,26.2,1220861585,590,0.4,11.6,21.7,0.439,30,6463,47994,29117,2969,"Bathurst Regional (A)",17179027,27368,879,1694,7.8,null,7.1,1.82,18.1,28.7,4.59,21410,6.6,4569,0.16,1.5,58,1.3,20346,3505,0.4,93,37.5,715,220,208,40,47746,1084052406,78.9,15045,51,24.6,17334,2016,4.1,24.0,8815,19871,54554
26.8,null,289271304,23.9,"10500",2426,25.2,38,null,928,null,40,315249750,null,4073,57503,null,26.0,5265232156,1467,0.41,10.1,23.5,0.437,37,4879,51928,25859,null,"Bayside (A)",37934726,39443,null,null,8.0,null,11.3,1.8,18.4,29.3,4.42,91565,6.4,null,0.2,2.3,59,0.8,22674,12758,0.6,null,160.7,null,null,243,36,47809,4597691305,80.6,64618,43,23.3,15792,2016,5.1,23.4,14688,76639,59992
23.3,302,71808308,32.3,"10550",4584,36.5,51,1928,656,1252,54,109402429,4,1538,45592,421,29.7,855809880,1215,0.34,18.2,16.8,0.478,44,7782,38672,33385,2475,"Bega Valley (A)",40562789,37232,121,1945,11.5,null,5.5,1.87,20.0,31.3,5.45,18771,7.2,6086,0.13,1.1,61,4.5,18309,3922,0.4,147,57.3,415,171,506,45,37270,661384572,65.0,14058,54,27.2,26838,2016,2.2,14.7,10850,14801,44685
22.0,130,29562325,33.6,"10600",2608,37.2,51,965,638,662,54,32293003,7,475,44878,185,29.4,304001252,276,0.32,17.0,15.8,0.492,51,6524,38420,32032,1178,"Bellingen (A)",8840850,29520,57,669,14.9,null,6.6,1.97,20.1,31.8,6.11,6774,7.4,2125,0.1,1.1,59,2.6,15851,1865,0.5,47,14.0,192,77,476,45,35835,244374063,64.7,4950,54,27.1,23200,2016,2.4,15.1,7539,5348,45694
23.8,98,23958450,30.3,"10650",2346,35.9,48,457,645,279,53,26949014,null,346,47182,116,29.4,202222024,136,0.35,17.5,15.7,0.476,58,8599,39500,25181,610,"Berrigan (A)",3424578,31446,null,331,12.6,null,5.4,1.89,19.5,30.6,5.37,4286,6.9,1687,0.14,1.3,58,1.7,23698,1011,0.7,46,10.9,102,null,468,42,38513,156532290,67.7,3134,53,26.0,12361,2016,2.1,16.5,12843,3514,44545
30.7,729,383402581,21.2,"10750",2885,25.9,38,23935,895,10172,40,150441144,11,5428,56139,5312,25.5,10069036663,2908,0.42,5.7,24.4,0.391,65,1352,51696,22839,28864,"Blacktown (C)",66415159,42401,3296,10380,6.3,null,12.0,1.66,15.2,25.5,3.93,179359,4.7,26058,0.21,1.3,57,0.7,19496,19666,0.6,302,230.2,4934,1356,101,37,50647,10016926415,87.0,111292,41,24.0,11897,2016,4.3,22.7,12925,177584,56407
